地名,センター（center.csvを使わない場合は空白化）,燃やすゴミ、生ゴミ,廃プラ,資源ゴミ(全品目),紙、ペット
1区(古城、天神),水俣市環境クリーンセンター,火 金,水,20240403 20240502 20240605 20240703 20240802 20240903 20241002 20241106 20241203 20250107 20250204 20250305 *1,20240417 20240522 20240619 20240719 20240821 20240918 20241018 20241120 20241216 20250122 20250218 20250318
1区(その他),水俣市環境クリーンセンター,月 木,水,20240402 20240501 20240604 20240702 20240801 20240902 20241001 2024110 20241202 20250106 20250203 20250304 *1,20240416 20240521 20240618 20240718 20240820 20240913 20241017 20241119 20241213 20250121 20250217 20250317
2区,水俣市環境クリーンセンター,月 木,水,20240404 20240508 20240606 20240704 20240806 20240904 20241003 20241107 20241204 20250108 20250205 20250306 *1,20240418 20240523 20240620 20240723 20240822 20240919 20241022 20241121 20241217 20250123 20250219 20250319
3区,水俣市環境クリーンセンター,火 金,水,20240405 20240509 20240607 20240705 20240807 20240905 20241004 20241108 20241205 20250109 20250206 20250307 *1,20240419 20240524 20240621 20240724 20240823 20240922 20241019 20241122 20241218 20250124 20250220 20250321
4区,水俣市環境クリーンセンター,月 木,水,20240408 20240510 20240610 20240709 20240808 20240906 20241008 20241112 20241206 20250110 20250207 20250310 *1,20240423 20240528 20240625 20240725 20240827 20240925 20241024 20241126 20241219 20250128 20250221 20250325
5区,水俣市環境クリーンセンター,火 金,水,20240409 20240514 20240611 20240710 20240809 20240909 20241009 20241113 20241209 20250115 20250210 20250311 *1,20240424 20240529 20240626 20240726 20240828 20240926 20241025 20241127 20241220 20250129 20250226 20250326
6区,水俣市環境クリーンセンター,火 金,水,20240410 20240515 20240612 20240711 20240814 20240910 20241010 20241114 20241210 20250116 20250212 20250312 *1,20240425 20240530 20240627 20240730 20240829 20240927 20241029 20241128 20241223 20250130 20250227 20250327
7.8区,水俣市環境クリーンセンター,火 金,水,20240411 20240516 20240613 20240712 20240815 20240911 20241011 20241115 20241211 20250117 20250213 20250313 *1,20240426 20240531 20240628 20240731 20240830 20240929 20241027 20241129 20241224 20250131 20250228 20250328
9.10.11区,水俣市環境クリーンセンター,火 金,水,20240412 20240517 20240614 20240717 20240816 20240912 20241016 20241118 20241212 20250120 20250214 20250314 *1,20240402 20240501 20240604 20240702 20240801 20240902 20241001 20241101 20241202 20250106 20250203 20250304
12.13.14.26区,水俣市環境クリーンセンター,火 金,水,20240416 20240521 20240618 20240718 20240820 20240913 20241017 20241119 20241213 20250121 20250217 20250317 *1,20240403 20240502 20240605 20240703 20240802 20240903 20241002 20241106 20241203 20250107 20250204 20250305
15.16区,水俣市環境クリーンセンター,火 金,水,20240417 20240522 20240619 20240719 20240821 20240918 20241018 20241120 20241216 20250122 20250218 20250318 *1,20240404 20240508 20240606 20240704 20240806 20240904 20241003 20241107 20241204 20250108 20250205 20250306
17区,水俣市環境クリーンセンター,月 木,水,20240418 20240523 20240620 20240723 20240822 20240919 20241022 20241121 20241217 20250123 20250219 20250319 *1,20240405 20240509 20240607 20240705 20240807 20240905 20241004 20241108 20241205 20250109 20250206 20250307
18区,水俣市環境クリーンセンター,月 木,水,20240419 20240524 20240621 20240724 20240823 20240920 20241023 20241122 20241218 20250124 20250220 20250321 *1,20240408 20240510 20240610 20240709 20240808 20240906 20241008 20241112 20241206 20250110 20250207 20250310
19.20区,水俣市環境クリーンセンター,月 木,水,20240423 20240528 20240625 20240725 20240827 20240925 20241024 20241126 20241219 20250128 20250221 20250325 *1,20240409 20240514 20240611 20240710 20240809 20240909 20241009 20241113 20241209 20250115 20250210 20250311
21区,水俣市環境クリーンセンター,月 木,水,20240424 20240529 20240626 20240726 20240828 20240926 20241025 20241127 20241220 20250129 20250226 20250326 *1,20240410 20240515 20240612 20240711 20240814 20240910 20241010 20241114 20241210 20250116 20250212 20250312
22区,水俣市環境クリーンセンター,火 金,水,20240425 20240530 20240627 20240730 20240829 20240927 20241029 20241128 20241223 20250130 20250227 20250327 *1,20240411 20240516 20240613 20240712 20240815 20240911 20241011 20241115 20241211 20250117 20250213 20250313
23.24.25区,水俣市環境クリーンセンター,月 木,水,20240426 20240531 20240628 20240731 20240830 20240930 20241030 20241129 20241224 20250131 20250228 20250328 *1,20240412 20240517 20240614 20240717 20240816 20240912 20241016 20241118 20241212 20250120 20250214 20250314
